NTA_large,NTA_small,Shape_Leng,Shape_Area
Queens Village,Airport,,
Pelham Parkway,Allerton-Pelham Gardens,25467.11742,31693044.33
South Shore,Annadale-Huguenot-Prince's Bay-Eltingville,71174.58291,141057788.4
South Shore,Arden Heights,29689.39553,50410815.85
Astoria,Astoria,32534.7384,39335513.59
Bayside/Little Neck,Auburndale,32452.05928,34164915.08
Jamaica,Baisley Park,31478.43813,44038576.44
Bensonhurst,Bath Beach,22383.74323,20534620.81
Greenwich Village/Financial District,Battery Park City-Lower Manhattan,43738.49622,19014298.9
Bay Ridge,Bay Ridge,44375.56677,67181046.79
Bayside/Little Neck,Bayside-Bayside Hills,43020.78794,80798589.95
Bedford Stuyvesant,Bedford,29992.9238,32629788.98
Bedford Stuyvesant,Bedford Park-Fordham North,22565.48119,14998883.48
Queens Village,Bellerose,32086.15089,55184284.56
Morrisania/Belmont,Belmont,17114.26897,13557339.87
Bensonhurst,Bensonhurst East,33903.24544,35777947.59
Bensonhurst,Bensonhurst West,37137.43917,46670569.51
Borough Park,Borough Park,39247.22783,54005019.05
Rockaways,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,,
Hillcrest/Fresh Meadows,Briarwood-Jamaica Hills,30038.17068,29301607.07
Coney Island,Brighton Beach,21060.16966,17180137.76
Pelham Parkway,Bronxdale,17432.17611,15185447.53
Brooklyn Heights/Fort Greene,Brooklyn Heights-Cobble Hill,14264.78653,9983620.469
Brownsville/Ocean Hill,Brownsville,27298.84988,32719365.87
Bushwick,Bushwick North,26321.62692,24927927.18
Bushwick,Bushwick South,40735.74218,40169452.36
Queens Village,Cambria Heights,26168.27009,33076797.82
Flatlands/Canarsie,Canarsie,43718.66635,82098856.61
Park Slope/Carroll Gardens,Carroll Gardens-Columbia Street-Red Hook,60820.88416,44601379.23
Central Harlem,Central Harlem North-Polo Grounds,27983.88418,25403484.05
Central Harlem,Central Harlem South,16621.02334,14439304.64
South Shore,Charleston-Richmond Valley-Tottenville,,
Lower East Side/Chinatown,Chinatown,20786.25611,14501868.16
Morrisania/Belmont,Claremont-Bathgate,29972.77717,16451615.82
Chelsea/Clinton/Midtown,Clinton,34481.62877,18362149.28
Chelsea/Clinton/Midtown,Clinton Hill,23971.4659,20528197.12
Flushing/Whitestone,College Point,,
Throgs Neck/Co-op City,Co-op City,30327.12814,39833695
Elmhurst/Corona,Corona,23870.15403,20080371.46
Morrisania/Belmont,Crotona Park East,24813.24147,16319724.93
North Crown Heights/Prospect Heights,Crown Heights North,35635.54325,51619074.7
South Crown Heights,Crown Heights South,24192.45593,15989888.79
East New York/Starrett City,Cypress Hills-City Line,35565.83025,27609750.63
Bayside/Little Neck,Douglas Manor-Douglaston-Little Neck,45784.45809,68394169.93
Brooklyn Heights/Fort Greene,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,32542.89994,28477918.57
Bay Ridge,Dyker Heights,30596.84537,29911047.21
Highbridge/South Concourse,East Concourse-Concourse Village,27223.84718,18222401.64
Jackson Heights,East Elmhurst,19816.71207,19726845.63
East Flatbush,East Flatbush-Farragut,39201.03821,34360864.27
Flushing/Whitestone,East Flushing,25848.54542,29453683.48
East Harlem,East Harlem North,30603.71888,24494898.42
East Harlem,East Harlem South,18624.66481,16650687.57
East New York/Starrett City,East New York,87941.16682,117025692.3
East New York/Starrett City,East New York (Pennsylvania Ave),24226.85129,19397526.69
Morrisania/Belmont,East Tremont,29633.13653,19255162.73
Lower East Side/Chinatown,East Village,13555.23945,10894316.12
Williamsburg/Greenpoint,East Williamsburg,49247.02697,39132793.82
Williamsbridge/Baychester,Eastchester-Edenwald-Baychester,59164.99931,40256794.25
Elmhurst/Corona,Elmhurst,36711.3363,32675347.57
Elmhurst/Corona,Elmhurst-Maspeth,32362.8252,21927665.93
East Flatbush,Erasmus,18756.70186,14522603.59
Rockaways,Far Rockaway-Bayswater,,
Flatbush,Flatbush,38737.85381,45254807.5
Flatlands/Canarsie,Flatlands,40635.27534,54341776.2
Flushing/Whitestone,Flushing,38362.72815,37865073.07
University Heights/Fordham,Fordham South,15880.35207,6308875.213
Rego Park/Forest Hills,Forest Hills,36171.47826,57827751.66
Brooklyn Heights/Fort Greene,Fort Greene,19825.52089,16482821.54
Hillcrest/Fresh Meadows,Fresh Meadows-Utopia,22106.43127,27774853.42
Bayside/Little Neck,Ft. Totten-Bay Terrace-Clearview,39625.84269,46292591.44
Flatlands/Canarsie,Georgetown-Marine Park-Bergen Beach-Mill Basin,,
Queens Village,Glen Oaks-Floral Park-New Hyde Park,33596.47316,45666940.66
Middle Village/Ridgewood,Glendale,41514.43535,30016735.81
Stuyvesant Town/Turtle Bay,Gramercy,12096.89551,7526926.68
Mid-Island,Grasmere-Arrochar-Ft. Wadsworth,39940.27553,40925777.49
Sheepshead Bay/Gravesend,Gravesend,39922.67438,31341950.28
South Shore,Great Kills,,
Williamsburg/Greenpoint,Greenpoint,28914.35491,35321995.79
North Shore,Grymes Hill-Clifton-Fox Hills,37119.89962,37752553.38
Morningside Heights/Hamilton Heights,Hamilton Heights,17411.38171,16096135.96
Rockaways,Hammels-Arverne-Edgemere,,
Highbridge/South Concourse,Highbridge,18506.3102,16457635.51
Jamaica,Hollis,20976.33557,22887772.87
Sheepshead Bay/Gravesend,Homecrest,27514.02292,29991967.28
Chelsea/Clinton/Midtown,Hudson Yards-Chelsea-Flatiron-Union Square,45693.0746,37068381.79
